id,clue id,clue
5948-clue_J_1_1,clue_J_1_1,"Emotional in a post-game interview after leading his team to the title in 2016, he yelled, ""Cleveland, this is for you!""."
5948-clue_J_2_1,clue_J_2_1,"2-word term for a jointed, posable male or female character."
5948-clue_J_3_1,clue_J_3_1,"1,100 miles of shoreline were polluted after 2010's Deepwater Horizon oil spill in this large body of water."
5948-clue_J_4_1,clue_J_4_1,This alliterative term refers to what God told Adam not to eat.
5948-clue_J_5_1,clue_J_5_1,"The ""Roller Coaster Capital of the World"", in Sandusky, Ohio: ____ Point."
5948-clue_J_6_1,clue_J_6_1,"Osaka is on this island, as are Japan's largest lake & mountain."
5948-clue_J_1_2,clue_J_1_2,"John Wall & Chris Paul play this 2-word position, the quarterback of the offense."
5948-clue_J_2_2,clue_J_2_2,"To be called this term, a doll must have been made before 1930."
5948-clue_J_3_2,clue_J_3_2,By around 1400 this was responsible for the death of about 40% of Europe's population--25 million people.
5948-clue_J_4_2,clue_J_4_2,"Beware of treacherous people & of this cliche, literally depicted here."
5948-clue_J_5_2,clue_J_5_2,Rap group featuring DJ Muggs & B-Real: ____ Hill.
5948-clue_J_6_2,clue_J_6_2,"The capital of South Holland province, it's the seat of the Netherlands' government."
5948-clue_J_1_3,clue_J_1_3,"The NBA's Kris Humphries, on his wedding to this reality star: ""It was totally different than... a basketball game""."
5948-clue_J_2_3,clue_J_2_3,"Name of the line from Funko with dolls from Belle to Aquaman, or the kind of culture it represents."
5948-clue_J_3_3,clue_J_3_3,"The 79 A.D. eruption gets most of the headlines, but the Dec. 16, 1631 event at this volcano killed 3,000 & had dark sky for days."
5948-clue_J_4_3,clue_J_4_3,"Shakespeare's King Claudius says something ""smells to"" this; today, we put ""high"" before it."
5948-clue_J_5_3,clue_J_5_3,Mom to Tiffany Trump: Marla ____.
5948-clue_J_6_3,clue_J_6_3,"The name of this Central American nation is Spanish for ""depths""."
5948-clue_J_1_4,clue_J_1_4,This Tennessee NBA team set an unenviable record by using 28 players in the 2015-16 season due to injuries.
5948-clue_J_2_4,clue_J_2_4,"For a collectible doll, ""NM"" stands for this almost perfect condition."
5948-clue_J_3_4,clue_J_3_4,"On April 26, 1986 a fireball blew off the steel & concrete lid of the reactor at this power station."
5948-clue_J_4_4,clue_J_4_4,"Meaning to exhaust one's energy & resources, it sounds like quickly using up a pre-industrial light source."
5948-clue_J_5_4,clue_J_5_4,A beauty subscription service founded by Katia Beauchamp & Hayley Barna: ____box.
5948-clue_J_6_4,clue_J_6_4,"The Minch is a channel separating Scotland's NW Highlands from this ""Outer"" island group."
